# tracer: function_graph
#
#     TIME         TASK/PID         DURATION                  FUNCTION CALLS
#      |            |    |           |   |                     |   |   |   |
5640901.755757 |    squid-920    |   0.095 us    |                          tcp_md5_do_lookup();
5640901.755758 |    squid-920    |   0.722 us    |                        } /* tcp_v4_md5_lookup */
5640901.755758 |    squid-920    |   1.534 us    |                      } /* tcp_established_options */
5640901.755759 |    squid-920    |   0.095 us    |                      skb_push();
5640901.755759 |    squid-920    |   0.111 us    |                      tcp_options_write();
5640901.755760 |    squid-920    |   0.101 us    |                      __tcp_select_window();
5640901.755761 |    squid-920    |               |                      tcp_v4_send_check() {
5640901.755761 |    squid-920    |   0.100 us    |                        __tcp_v4_send_check();
5640901.755762 |    squid-920    |   0.782 us    |                      } /* tcp_v4_send_check */
5640901.755762 |    squid-920    |               |                      ip_queue_xmit() {
5640901.755763 |    squid-920    |               |                        __sk_dst_check() {
5640901.755763 |    squid-920    |   0.095 us    |                          ipv4_dst_check();
5640901.755764 |    squid-920    |   0.797 us    |                        } /* __sk_dst_check */
5640901.755764 |    squid-920    |   0.095 us    |                        skb_push();
5640901.755765 |    squid-920    |   0.101 us    |                        ip_copy_addrs();
5640901.755766 |    squid-920    |               |                        ip_local_out() {
5640901.755766 |    squid-920    |   0.120 us    |                          __ip_local_out();
5640901.755767 |    squid-920    |               |                          ip_output() {
5640901.755767 |    squid-920    |   0.105 us    |                            __local_bh_enable_ip();
5640901.755768 |    squid-920    |               |                            ip_finish_output() {
5640901.755768 |    squid-920    |   0.105 us    |                              ipv4_mtu();
5640901.755769 |    squid-920    |               |                              ip_finish_output2() {
5640901.755770 |    squid-920    |   0.095 us    |                                skb_push();
5640901.755770 |    squid-920    |               |                                dev_queue_xmit() {
5640901.755771 |    squid-920    |               |                                  __dev_queue_xmit() {
5640901.755771 |    squid-920    |   0.096 us    |                                    netdev_pick_tx();
5640901.755772 |    squid-920    |   0.106 us    |                                    _raw_spin_lock();
5640901.755773 |    squid-920    |               |                                    sch_direct_xmit() {
5640901.755773 |    squid-920    |               |                                      validate_xmit_skb_list() {
5640901.755774 |    squid-920    |               |                                        validate_xmit_skb() {
5640901.755774 |    squid-920    |               |                                          netif_skb_features() {
5640901.755774 |    squid-920    |   0.090 us    |                                            skb_network_protocol();
5640901.755775 |    squid-920    |   0.852 us    |                                          } /* netif_skb_features */
5640901.755775 |    squid-920    |   0.095 us    |                                          validate_xmit_xfrm();
5640901.755776 |    squid-920    |               |                                          skb_csum_hwoffload_help() {
5640901.755776 |    squid-920    |               |                                            skb_checksum_help() {
5640901.755777 |    squid-920    |               |                                              skb_checksum() {
5640901.755777 |    squid-920    |   0.271 us    |                                                __skb_checksum();
5640901.755778 |    squid-920    |   1.008 us    |                                              } /* skb_checksum */
5640901.755778 |    squid-920    |   1.750 us    |                                            } /* skb_checksum_help */
5640901.755779 |    squid-920    |   2.386 us    |                                          } /* skb_csum_hwoffload_help */
5640901.755779 |    squid-920    |   5.233 us    |                                        } /* validate_xmit_skb */
5640901.755779 |    squid-920    |   5.910 us    |                                      } /* validate_xmit_skb_list */
5640901.755780 |    squid-920    |   0.115 us    |                                      _raw_spin_lock();
5640901.755780 |    squid-920    |               |                                      dev_hard_start_xmit() {
5640901.755781 |    squid-920    |               |                                        rtl8169_start_xmit [r8169]() {
5640901.755781 |    squid-920    |   0.100 us    |                                          rtl8169_tso_csum_v1 [r8169]();
5640901.755782 |    squid-920    |               |                                          nommu_map_page() {
5640901.755782 |    squid-920    |   0.100 us    |                                            check_addr();
5640901.755783 |    squid-920    |   0.862 us    |                                          } /* nommu_map_page */
5640901.755783 |    squid-920    |   0.091 us    |                                          nommu_mapping_error();
5640901.755784 |    squid-920    |   2.957 us    |                                        } /* rtl8169_start_xmit [r8169] */
5640901.755784 |    squid-920    |   3.644 us    |                                      } /* dev_hard_start_xmit */
5640901.755785 |    squid-920    |   0.105 us    |                                      _raw_spin_lock();
5640901.755785 |    squid-920    |   12.291 us   |                                    } /* sch_direct_xmit */
5640901.755786 |    squid-920    |   0.100 us    |                                    __local_bh_enable_ip();
5640901.755786 |    squid-920    |   15.198 us   |                                  } /* __dev_queue_xmit */
5640901.755787 |    squid-920    |   15.824 us   |                                } /* dev_queue_xmit */
5640901.755787 |    squid-920    |   0.130 us    |                                __local_bh_enable_ip();
5640901.755788 |    squid-920    |   18.301 us   |                              } /* ip_finish_output2 */
5640901.755788 |    squid-920    |   19.895 us   |                            } /* ip_finish_output */
5640901.755788 |    squid-920    |   21.233 us   |                          } /* ip_output */
5640901.755789 |    squid-920    |   22.732 us   |                        } /* ip_local_out */
5640901.755789 |    squid-920    |   26.251 us   |                      } /* ip_queue_xmit */
5640901.755790 |    squid-920    |   32.832 us   |                    } /* tcp_transmit_skb */
5640901.755790 |    squid-920    |   39.183 us   |                  } /* tcp_send_ack */
5640901.755790 |    squid-920    |   39.931 us   |                } /* tcp_cleanup_rbuf */
5640901.755791 |    squid-920    |               |                release_sock() {
5640901.755791 |    squid-920    |   0.111 us    |                  _raw_spin_lock_bh();
5640901.755792 |    squid-920    |   0.091 us    |                  tcp_release_cb();
